amount,description,date,currency
1870.06,Grocery shopping,2023-11-18,INR
3449.78,Grocery shopping,2023-08-22,INR
553.32,Zomato food order,2023-07-18,INR
4455.23,Electricity bill,2023-09-26,INR
3299.69,Mobile recharge,2023-06-11,INR
2146.95,Grocery shopping,2023-08-12,INR
4968.16,Clothing shopping,2023-02-14,INR
1341.15,Book purchase,2023-06-03,INR
2574.68,Electricity bill,2023-12-21,INR
2654.56,Coffee at cafe,2023-05-28,INR
2628.56,Rent payment,2023-11-17,INR
617.19,Ola cab ride,2023-02-19,INR
2065.39,Hotel stay,2023-07-15,INR
3996.69,Medical bill,2023-08-15,INR
822.54,Swiggy food order,2023-07-16,INR
1250.25,Swiggy food order,2023-10-18,INR
4010.8,Clothing shopping,2023-03-16,INR
977.75,Grocery shopping,2023-11-23,INR
121.19,Hotel stay,2023-10-08,INR
2990.66,Coffee at cafe,2023-12-04,INR
4726.59,Medical bill,2023-05-18,INR
2857.1,Medical bill,2023-01-08,INR
979.01,Coffee at cafe,2023-05-18,INR
1466.05,Zomato food order,2023-02-01,INR
4472.19,Swiggy food order,2023-09-12,INR
408.74,Grocery shopping,2023-09-23,INR
3241.44,Gym membership,2023-07-17,INR
1946.05,Movie tickets,2023-05-07,INR
2304.82,Amazon purchase,2023-12-13,INR
1597.12,Flight booking,2023-05-20,INR
3575.61,Rent payment,2023-08-07,INR
667.82,Rent payment,2023-04-22,INR
3833.97,Grocery shopping,2023-12-20,INR
3932.32,Electricity bill,2023-08-22,INR
2309.37,Clothing shopping,2023-10-17,INR
4576.91,Electricity bill,2023-01-19,INR
1851.82,Book purchase,2023-02-23,INR
585.54,Swiggy food order,2023-03-07,INR
1607.35,Zomato food order,2023-02-04,INR
4192.97,Mobile recharge,2023-10-03,INR
3475.24,Medical bill,2023-11-17,INR
3406.41,Rent payment,2023-01-18,INR
2207.22,Hotel stay,2023-01-12,INR
3745.01,Electricity bill,2023-03-03,INR
2538.12,Amazon purchase,2023-08-12,INR
4476.86,Amazon purchase,2023-11-12,INR
4886.55,Zomato food order,2023-05-27,INR
3764.87,Movie tickets,2023-05-16,INR
213.42,Mobile recharge,2023-01-18,INR
616.28,Zomato food order,2023-02-14,INR
4964.11,Clothing shopping,2023-04-14,INR
1772.13,Rent payment,2023-11-15,INR
3867.0,Coffee at cafe,2023-04-08,INR
448.86,Zomato food order,2023-10-03,INR
3572.35,Rent payment,2023-09-16,INR
2195.59,Amazon purchase,2023-01-27,INR
4055.47,Medical bill,2023-03-29,INR
4502.69,Mobile recharge,2023-04-10,INR
3073.63,Coffee at cafe,2023-09-17,INR
4544.29,Clothing shopping,2023-07-03,INR
676.43,Gym membership,2023-05-30,INR
2902.78,Swiggy food order,2023-04-14,INR
4606.58,Book purchase,2023-03-10,INR
1697.52,Grocery shopping,2023-04-16,INR
757.44,Hotel stay,2023-09-07,INR
1827.25,Grocery shopping,2023-08-10,INR
1072.15,Hotel stay,2023-06-19,INR
4556.64,Rent payment,2023-06-03,INR
3562.51,Coffee at cafe,2023-06-29,INR
3427.9,Swiggy food order,2023-11-07,INR
101.24,Book purchase,2023-11-21,INR
1135.81,Amazon purchase,2023-11-06,INR
3222.64,Book purchase,2023-03-08,INR
1414.52,Medical bill,2023-09-11,INR
960.4,Hotel stay,2023-04-20,INR
3526.17,Hotel stay,2023-12-02,INR
1195.82,Rent payment,2023-08-23,INR
1721.13,Mobile recharge,2023-05-15,INR
2882.43,Zomato food order,2023-07-09,INR
1282.89,Grocery shopping,2023-01-06,INR
795.43,Amazon purchase,2023-02-10,INR
1163.38,Grocery shopping,2023-09-03,INR
2308.87,Rent payment,2023-05-04,INR
580.94,Electricity bill,2023-09-07,INR
2378.45,Movie tickets,2023-02-28,INR
2840.85,Grocery shopping,2023-11-20,INR
4343.38,Book purchase,2023-07-24,INR
3405.25,Movie tickets,2023-07-16,INR
3052.64,Medical bill,2023-12-07,INR
862.59,Clothing shopping,2023-07-29,INR
3939.18,Mobile recharge,2023-02-20,INR
178.72,Swiggy food order,2023-01-10,INR
3238.52,Movie tickets,2023-12-14,INR
1837.85,Movie tickets,2023-11-13,INR
3773.38,Mobile recharge,2023-04-29,INR
2898.71,Gym membership,2023-09-04,INR
2101.76,Medical bill,2023-09-08,INR
4432.42,Book purchase,2023-04-07,INR
1442.55,Gym membership,2023-09-19,INR
307.9,Grocery shopping,2023-09-11,INR
3452.21,Medical bill,2023-08-01,INR
4376.58,Hotel stay,2023-07-02,INR
1453.36,Flight booking,2023-03-29,INR
142.36,Zomato food order,2023-04-07,INR
2181.24,Swiggy food order,2023-12-05,INR
3870.59,Clothing shopping,2023-04-29,INR
1495.84,Ola cab ride,2023-04-01,INR
4042.53,Medical bill,2023-02-06,INR
2337.13,Mobile recharge,2023-10-26,INR
2489.76,Electricity bill,2023-09-21,INR
4093.44,Amazon purchase,2023-07-25,INR
3768.78,Mobile recharge,2023-04-30,INR
2236.03,Movie tickets,2023-08-29,INR
2654.73,Medical bill,2023-10-08,INR
