amount,description,date,currency
1191.9,Coffee at cafe,2023-03-10,INR
550.85,Gym membership,2023-03-16,INR
4629.22,Amazon purchase,2023-03-19,INR
2230.42,Amazon purchase,2023-01-26,INR
192.92,Book purchase,2023-11-26,INR
3990.25,Medical bill,2023-03-24,INR
1844.76,Clothing shopping,2023-02-10,INR
4052.28,Movie tickets,2023-07-03,INR
667.19,Gym membership,2023-04-04,INR
4286.69,Amazon purchase,2023-04-06,INR
4094.81,Amazon purchase,2023-03-28,INR
4319.01,Clothing shopping,2023-04-01,INR
4838.85,Amazon purchase,2023-04-09,INR
998.29,Book purchase,2023-02-20,INR
4403.43,Clothing shopping,2023-02-20,INR
1300.4,Book purchase,2023-06-23,INR
932.37,Mobile recharge,2023-05-01,INR
2991.77,Movie tickets,2023-11-02,INR
341.68,Mobile recharge,2023-02-10,INR
647.98,Book purchase,2023-02-05,INR
942.87,Clothing shopping,2023-12-10,INR
3129.55,Electricity bill,2023-04-05,INR
2425.54,Swiggy food order,2023-01-08,INR
4262.89,Electricity bill,2023-01-02,INR
835.45,Rent payment,2023-09-13,INR
3700.52,Medical bill,2023-03-28,INR
4836.73,Grocery shopping,2023-08-29,INR
4586.0,Amazon purchase,2023-08-16,INR
3371.78,Rent payment,2023-02-03,INR
1483.74,Movie tickets,2023-01-06,INR
792.99,Ola cab ride,2023-08-12,INR
4876.95,Swiggy food order,2023-09-25,INR
3094.53,Zomato food order,2023-08-13,INR
4642.41,Flight booking,2023-06-14,INR
2256.67,Coffee at cafe,2023-01-27,INR
3715.14,Gym membership,2023-07-10,INR
3880.97,Swiggy food order,2023-09-29,INR
3966.39,Grocery shopping,2023-04-01,INR
3992.04,Grocery shopping,2023-11-03,INR
915.14,Swiggy food order,2023-08-04,INR
3929.22,Coffee at cafe,2023-02-22,INR
1303.65,Flight booking,2023-02-01,INR
2081.15,Medical bill,2023-01-25,INR
1107.09,Medical bill,2023-02-12,INR
2467.06,Zomato food order,2023-08-22,INR
1851.36,Coffee at cafe,2023-05-12,INR
855.84,Flight booking,2023-10-24,INR
1326.04,Flight booking,2023-03-24,INR
4189.55,Ola cab ride,2023-03-20,INR
3028.17,Clothing shopping,2023-08-24,INR
4160.1,Clothing shopping,2023-09-26,INR
353.46,Mobile recharge,2023-02-18,INR
549.22,Flight booking,2023-05-29,INR
358.12,Book purchase,2023-03-09,INR
3355.33,Medical bill,2023-04-27,INR
680.56,Rent payment,2023-01-28,INR
1370.82,Swiggy food order,2023-12-19,INR
1069.03,Swiggy food order,2023-02-19,INR
2129.36,Flight booking,2023-04-20,INR
3233.45,Hotel stay,2023-12-18,INR
3612.67,Swiggy food order,2023-12-21,INR
501.81,Clothing shopping,2023-04-09,INR
2578.33,Medical bill,2023-01-29,INR
3549.3,Amazon purchase,2023-01-28,INR
1379.99,Coffee at cafe,2023-08-21,INR
2454.72,Flight booking,2023-01-30,INR
853.41,Amazon purchase,2023-07-17,INR
4697.82,Gym membership,2023-06-02,INR
635.93,Swiggy food order,2023-07-18,INR
145.75,Medical bill,2023-05-09,INR
1107.22,Swiggy food order,2023-11-24,INR
3203.81,Electricity bill,2023-01-30,INR
2784.61,Amazon purchase,2023-08-06,INR
2934.26,Coffee at cafe,2023-03-22,INR
710.6,Swiggy food order,2023-09-21,INR
