amount,description,date,currency
2471.83,Flight booking,2023-09-24,INR
2933.82,Flight booking,2023-02-10,INR
4725.77,Gym membership,2023-09-05,INR
1561.95,Amazon purchase,2023-07-27,INR
1501.33,Swiggy food order,2023-02-16,INR
2680.99,Hotel stay,2023-02-22,INR
2785.08,Medical bill,2023-06-09,INR
3667.47,Gym membership,2023-09-17,INR
1085.01,Swiggy food order,2023-11-02,INR
2180.56,Amazon purchase,2023-02-04,INR
713.29,Coffee at cafe,2023-03-02,INR
2075.64,Zomato food order,2023-11-07,INR
2345.33,Rent payment,2023-07-30,INR
775.05,Mobile recharge,2023-02-13,INR
935.33,Gym membership,2023-02-11,INR
4524.9,Medical bill,2023-02-19,INR
1506.45,Rent payment,2023-10-16,INR
3240.87,Zomato food order,2023-06-02,INR
2707.7,Clothing shopping,2023-02-20,INR
1200.89,Gym membership,2023-09-05,INR
2029.2,Book purchase,2023-05-18,INR
599.52,Gym membership,2023-12-25,INR
4979.49,Zomato food order,2023-03-02,INR
3919.65,Swiggy food order,2023-04-05,INR
3098.61,Grocery shopping,2023-11-23,INR
4843.75,Zomato food order,2023-03-21,INR
2886.39,Grocery shopping,2023-06-08,INR
4225.79,Swiggy food order,2023-09-21,INR
2353.54,Grocery shopping,2023-12-21,INR
4855.75,Grocery shopping,2023-03-05,INR
4790.04,Medical bill,2023-09-16,INR
1160.34,Gym membership,2023-10-15,INR
4822.33,Movie tickets,2023-01-09,INR
1727.65,Movie tickets,2023-01-15,INR
3474.85,Ola cab ride,2023-09-07,INR
900.1,Grocery shopping,2023-08-15,INR
1678.35,Book purchase,2023-11-06,INR
4543.99,Flight booking,2023-02-09,INR
679.61,Rent payment,2023-03-09,INR
626.49,Rent payment,2023-08-23,INR
4036.71,Coffee at cafe,2023-03-12,INR
2766.17,Coffee at cafe,2023-04-27,INR
1024.5,Ola cab ride,2023-09-12,INR
502.53,Zomato food order,2023-06-07,INR
1119.84,Zomato food order,2023-05-08,INR
4396.25,Hotel stay,2023-07-26,INR
4466.4,Clothing shopping,2023-04-07,INR
2566.88,Gym membership,2023-01-31,INR
3455.78,Electricity bill,2023-04-11,INR
2771.1,Medical bill,2023-04-10,INR
905.12,Gym membership,2023-11-25,INR
1612.37,Hotel stay,2023-10-06,INR
2650.36,Mobile recharge,2023-10-07,INR
1542.3,Zomato food order,2023-01-25,INR
2306.41,Electricity bill,2023-08-04,INR
1063.27,Clothing shopping,2023-11-16,INR
3353.58,Hotel stay,2023-03-19,INR
1895.05,Electricity bill,2023-10-30,INR
2520.31,Zomato food order,2023-05-17,INR
975.7,Amazon purchase,2023-10-01,INR
4647.08,Zomato food order,2023-12-07,INR
4545.68,Rent payment,2023-02-27,INR
835.08,Clothing shopping,2023-05-31,INR
4263.9,Coffee at cafe,2023-09-27,INR
2185.39,Swiggy food order,2023-07-13,INR
2540.96,Rent payment,2023-04-22,INR
4339.77,Movie tickets,2023-12-11,INR
2642.11,Book purchase,2023-11-30,INR
1514.3,Book purchase,2023-04-20,INR
2366.13,Book purchase,2023-02-12,INR
456.69,Ola cab ride,2023-01-07,INR
4363.1,Rent payment,2023-12-04,INR
4429.65,Mobile recharge,2023-12-29,INR
304.91,Gym membership,2023-07-25,INR
1621.04,Clothing shopping,2023-09-20,INR
231.87,Gym membership,2023-05-26,INR
4422.73,Electricity bill,2023-03-31,INR
4111.39,Coffee at cafe,2023-02-24,INR
4862.96,Mobile recharge,2023-10-21,INR
1492.57,Mobile recharge,2023-07-10,INR
1922.69,Flight booking,2023-10-08,INR
583.39,Hotel stay,2023-04-18,INR
818.78,Rent payment,2023-10-26,INR
1995.71,Swiggy food order,2023-05-06,INR
3055.17,Clothing shopping,2023-08-01,INR
454.28,Movie tickets,2023-02-07,INR
2643.87,Flight booking,2023-01-29,INR
1238.2,Flight booking,2023-05-17,INR
3401.36,Medical bill,2023-09-12,INR
4542.37,Hotel stay,2023-04-02,INR
2782.85,Clothing shopping,2023-08-02,INR
384.29,Grocery shopping,2023-12-19,INR
1533.26,Ola cab ride,2023-10-04,INR
1452.41,Coffee at cafe,2023-10-12,INR
4239.87,Electricity bill,2023-09-29,INR
2323.03,Electricity bill,2023-12-14,INR
3496.71,Book purchase,2023-08-08,INR
2989.78,Coffee at cafe,2023-06-26,INR
1202.24,Rent payment,2023-04-15,INR
3715.58,Gym membership,2023-02-16,INR
4262.28,Rent payment,2023-08-15,INR
1861.77,Clothing shopping,2023-01-05,INR
4956.42,Clothing shopping,2023-03-04,INR
4903.77,Coffee at cafe,2023-12-11,INR
410.76,Hotel stay,2023-02-01,INR
4547.15,Book purchase,2023-04-08,INR
4574.89,Swiggy food order,2023-03-15,INR
1692.28,Clothing shopping,2023-11-16,INR
981.93,Amazon purchase,2023-03-20,INR
1071.29,Medical bill,2023-02-15,INR
1505.99,Clothing shopping,2023-02-24,INR
