amount,description,date,currency
2301.9,Grocery shopping,2023-04-03,INR
2641.31,Gym membership,2023-05-03,INR
1849.55,Medical bill,2023-01-09,INR
3398.22,Zomato food order,2023-11-24,INR
2802.07,Movie tickets,2023-04-24,INR
4018.03,Flight booking,2023-08-04,INR
623.96,Electricity bill,2023-11-21,INR
1640.35,Hotel stay,2023-02-08,INR
2964.85,Rent payment,2023-07-19,INR
3094.12,Flight booking,2023-12-10,INR
936.84,Hotel stay,2023-12-22,INR
3170.44,Medical bill,2023-12-24,INR
2056.02,Electricity bill,2023-11-17,INR
1204.74,Coffee at cafe,2023-12-22,INR
2085.8,Medical bill,2023-07-25,INR
516.04,Gym membership,2023-12-19,INR
174.49,Clothing shopping,2023-02-23,INR
3559.4,Rent payment,2023-02-19,INR
2862.99,Coffee at cafe,2023-10-10,INR
2593.58,Ola cab ride,2023-07-17,INR
1489.4,Flight booking,2023-12-15,INR
697.49,Zomato food order,2023-05-21,INR
650.65,Electricity bill,2023-01-11,INR
4224.25,Flight booking,2023-03-07,INR
3967.39,Movie tickets,2023-01-18,INR
2049.5,Clothing shopping,2023-01-04,INR
1519.96,Rent payment,2023-04-07,INR
749.27,Coffee at cafe,2023-12-12,INR
348.86,Amazon purchase,2023-07-09,INR
1747.63,Rent payment,2023-11-29,INR
536.87,Electricity bill,2023-01-12,INR
2631.63,Flight booking,2023-01-09,INR
4083.16,Electricity bill,2023-02-13,INR
115.07,Gym membership,2023-06-30,INR
4693.76,Ola cab ride,2023-01-07,INR
2468.94,Medical bill,2023-01-08,INR
659.36,Grocery shopping,2023-03-28,INR
2968.99,Book purchase,2023-06-08,INR
4602.84,Coffee at cafe,2023-09-20,INR
1808.66,Amazon purchase,2023-09-09,INR
1256.82,Swiggy food order,2023-02-25,INR
4788.56,Movie tickets,2023-08-12,INR
985.13,Hotel stay,2023-10-13,INR
4229.85,Flight booking,2023-05-30,INR
4460.55,Book purchase,2023-02-28,INR
1120.89,Medical bill,2023-06-11,INR
1615.91,Amazon purchase,2023-10-14,INR
4721.15,Coffee at cafe,2023-05-16,INR
910.11,Clothing shopping,2023-07-28,INR
1086.26,Mobile recharge,2023-02-16,INR
4003.59,Electricity bill,2023-02-23,INR
792.5,Clothing shopping,2023-04-20,INR
4780.53,Mobile recharge,2023-07-12,INR
2032.34,Swiggy food order,2023-09-24,INR
3477.2,Rent payment,2023-09-29,INR
3086.06,Medical bill,2023-05-10,INR
3887.94,Movie tickets,2023-11-08,INR
3431.22,Book purchase,2023-04-24,INR
4783.44,Ola cab ride,2023-12-27,INR
311.12,Mobile recharge,2023-09-26,INR
2526.33,Amazon purchase,2023-08-15,INR
1661.6,Grocery shopping,2023-04-04,INR
1428.64,Grocery shopping,2023-05-08,INR
3764.93,Coffee at cafe,2023-11-29,INR
3781.39,Rent payment,2023-12-29,INR
459.58,Amazon purchase,2023-01-04,INR
902.53,Coffee at cafe,2023-02-13,INR
251.12,Coffee at cafe,2023-01-08,INR
4298.77,Zomato food order,2023-08-15,INR
2511.98,Clothing shopping,2023-04-28,INR
671.36,Gym membership,2023-09-29,INR
1112.85,Grocery shopping,2023-11-09,INR
2523.38,Coffee at cafe,2023-06-02,INR
1489.47,Movie tickets,2023-07-25,INR
3154.77,Flight booking,2023-03-01,INR
2209.1,Zomato food order,2023-08-15,INR
4477.72,Movie tickets,2023-07-19,INR
1871.78,Book purchase,2023-08-27,INR
959.25,Electricity bill,2023-01-07,INR
3129.31,Swiggy food order,2023-11-24,INR
1853.83,Gym membership,2023-09-27,INR
2538.18,Ola cab ride,2023-03-31,INR
2559.11,Electricity bill,2023-03-23,INR
4951.72,Medical bill,2023-08-31,INR
4281.23,Mobile recharge,2023-02-05,INR
1953.93,Mobile recharge,2023-07-19,INR
4273.09,Ola cab ride,2023-05-27,INR
660.34,Ola cab ride,2023-12-04,INR
2575.98,Clothing shopping,2023-02-25,INR
2738.66,Ola cab ride,2023-08-06,INR
1021.62,Ola cab ride,2023-08-09,INR
4951.93,Hotel stay,2023-12-09,INR
702.74,Coffee at cafe,2023-07-28,INR
4460.38,Zomato food order,2023-07-28,INR
1194.11,Gym membership,2023-10-15,INR
3004.62,Ola cab ride,2023-01-26,INR
1182.01,Zomato food order,2023-10-07,INR
4603.15,Zomato food order,2023-11-05,INR
3119.97,Amazon purchase,2023-08-19,INR
1369.81,Hotel stay,2023-08-14,INR
3539.69,Clothing shopping,2023-02-09,INR
177.23,Amazon purchase,2023-01-05,INR
3890.86,Coffee at cafe,2023-12-01,INR
4923.84,Hotel stay,2023-06-21,INR
624.41,Amazon purchase,2023-01-30,INR
4421.92,Medical bill,2023-05-01,INR
3584.7,Swiggy food order,2023-12-05,INR
1324.1,Electricity bill,2023-12-13,INR
1722.78,Electricity bill,2023-11-19,INR
4381.32,Ola cab ride,2023-09-04,INR
3575.82,Movie tickets,2023-04-10,INR
783.55,Amazon purchase,2023-09-12,INR
3332.67,Hotel stay,2023-12-20,INR
1095.94,Zomato food order,2023-06-16,INR
311.45,Movie tickets,2023-01-17,INR
2328.41,Amazon purchase,2023-12-20,INR
3073.99,Ola cab ride,2023-01-22,INR
3858.66,Mobile recharge,2023-11-05,INR
629.21,Hotel stay,2023-10-16,INR
2608.52,Coffee at cafe,2023-12-26,INR
4522.0,Rent payment,2023-01-14,INR
3817.62,Flight booking,2023-04-12,INR
4550.39,Gym membership,2023-09-06,INR
450.46,Zomato food order,2023-11-02,INR
802.19,Medical bill,2023-07-18,INR
692.75,Swiggy food order,2023-03-04,INR
124.11,Rent payment,2023-03-09,INR
1319.81,Coffee at cafe,2023-09-06,INR
1406.63,Book purchase,2023-01-07,INR
2595.48,Gym membership,2023-11-06,INR
478.22,Grocery shopping,2023-08-01,INR
4207.57,Electricity bill,2023-06-16,INR
1371.33,Swiggy food order,2023-01-16,INR
1800.86,Amazon purchase,2023-02-27,INR
2246.86,Ola cab ride,2023-10-16,INR
1573.78,Grocery shopping,2023-03-17,INR
1978.83,Clothing shopping,2023-10-07,INR
1400.74,Gym membership,2023-02-18,INR
396.68,Amazon purchase,2023-08-18,INR
4114.11,Clothing shopping,2023-05-21,INR
651.31,Mobile recharge,2023-06-20,INR
480.57,Swiggy food order,2023-07-23,INR
2422.25,Clothing shopping,2023-09-15,INR
1189.42,Swiggy food order,2023-09-12,INR
4735.25,Hotel stay,2023-03-15,INR
2858.71,Swiggy food order,2023-06-27,INR
4866.81,Zomato food order,2023-02-09,INR
1794.74,Book purchase,2023-12-28,INR
2214.42,Zomato food order,2023-11-30,INR
1667.91,Coffee at cafe,2023-04-26,INR
2090.23,Medical bill,2023-05-11,INR
2775.63,Medical bill,2023-06-21,INR
3640.77,Flight booking,2023-07-25,INR
998.7,Coffee at cafe,2023-02-02,INR
2364.71,Medical bill,2023-07-25,INR
3388.92,Zomato food order,2023-07-07,INR
3946.1,Mobile recharge,2023-01-19,INR
4590.16,Hotel stay,2023-02-23,INR
4006.21,Gym membership,2023-03-11,INR
3191.98,Mobile recharge,2023-09-03,INR
396.74,Medical bill,2023-06-05,INR
856.01,Amazon purchase,2023-07-10,INR
1829.8,Movie tickets,2023-03-28,INR
1519.64,Grocery shopping,2023-05-28,INR
2105.36,Zomato food order,2023-06-19,INR
743.45,Hotel stay,2023-04-07,INR
2434.29,Coffee at cafe,2023-04-26,INR
1085.2,Medical bill,2023-01-14,INR
729.02,Gym membership,2023-09-10,INR
2498.71,Mobile recharge,2023-03-25,INR
1556.98,Grocery shopping,2023-06-17,INR
3440.4,Electricity bill,2023-06-06,INR
943.11,Swiggy food order,2023-07-29,INR
4774.79,Grocery shopping,2023-02-13,INR
2389.71,Zomato food order,2023-10-18,INR
2925.05,Gym membership,2023-01-17,INR
4415.72,Hotel stay,2023-10-19,INR
1578.49,Hotel stay,2023-06-08,INR
672.91,Ola cab ride,2023-03-01,INR
3574.69,Book purchase,2023-12-29,INR
3362.8,Grocery shopping,2023-08-25,INR
4881.76,Rent payment,2023-09-04,INR
2250.27,Ola cab ride,2023-06-01,INR
2703.62,Ola cab ride,2023-02-19,INR
744.33,Coffee at cafe,2023-01-14,INR
115.59,Electricity bill,2023-06-15,INR
4430.97,Electricity bill,2023-05-05,INR
3072.44,Grocery shopping,2023-08-14,INR
2125.18,Clothing shopping,2023-03-14,INR
2271.51,Electricity bill,2023-03-26,INR
2716.91,Flight booking,2023-06-15,INR
371.58,Grocery shopping,2023-01-06,INR
3029.63,Clothing shopping,2023-04-21,INR
3760.4,Zomato food order,2023-06-04,INR
2854.13,Amazon purchase,2023-05-05,INR
2729.45,Ola cab ride,2023-08-12,INR
3968.71,Flight booking,2023-10-04,INR
2095.16,Rent payment,2023-10-01,INR
4565.52,Hotel stay,2023-11-29,INR
286.98,Flight booking,2023-09-26,INR
3464.47,Amazon purchase,2023-10-07,INR
2485.95,Gym membership,2023-11-16,INR
4212.92,Flight booking,2023-11-02,INR
3800.77,Gym membership,2023-11-07,INR
251.92,Mobile recharge,2023-06-26,INR
157.26,Gym membership,2023-09-20,INR
1346.51,Grocery shopping,2023-03-26,INR
1185.88,Electricity bill,2023-09-15,INR
